oui	companyName
44:70:0B	Iffu
10:70:FD	"Mellanox Tech, Inc"
00:0D:97	Abb Inc/Tropos
00:18:5E	Nexterm Inc
00:50:C2:95:5	Roessmann Engineering
3C:39:C3	"JW Electronics Co, Ltd"
00:50:C2:C4:A	"Herrick Tech Laboratories, Inc"
00:50:C2:F9:1	Re2 Inc
00:0F:3B	"Fuji System Machines Co, Ltd"
00:14:DD	Covergence Inc
DC:B4:C4	Microsoft Xcg
C4:39:3A	"Smc Networks, Inc"
00:1B:A7	Lorica Solutions
70:B3:D5:9C:8	"Applied Systems Engineering, Inc"
FC:E6:6A	Industrial Software Co
70:B3:D5:57:E	Ascon Tecnologic S.r.l.
00:B0:9D	Point Grey Research Inc
00:50:C2:2F:7	Gillam-Fei S.A.
D0:D4:71	"Mvtech Co, Ltd"
2C:FA:A2	Alcatel-Lucent Enterprise
00:11:F1	QinetiQ Ltd
18:AD:4D	Polostar Tech Corp
6C:E4:CE	Villiger Security Solutions AG
70:B3:D5:51:7	Ispher
70:B3:D5:EB:5	Justek Inc
58:20:8A:7	pureLiFi Ltd
70:B3:D5:1A:9	Oceanix Inc
4C:11:AE	Espressif Inc
00:10:E1	"S.I. Tech, Inc"
00:03:B7	Zaccess Systems
00:04:5C	Mobiwave Pte Ltd
80:E4:DA	Ieee Registration Authority
2A:FD:6A	Charter Communications
7C:47:7C:9	"DaLian Cheering Tech Co, Ltd"
98:06:37:A	Angora Networks
68:79:12:3	Stephan Electronics Sarl
00:08:81	"Digital Hands Co, Ltd"
00:09:C6	Visionics Corp
28:0D:FC	Sony Interactive Entertainment Inc
24:76:56	"Shanghai Net Miles Fiber Optics Tech Co, Ltd"
70:B3:D5:B3:0	Systolé Hardware B.V.
70:B3:D5:B6:1	"WuXi anktech Co, Ltd"
00:50:C2:00:E	TTTech
70:B3:D5:C3:7	Keycom Corp
00:02:DB	Netsec
08:00:03	Advanced Computer Comm.
78:B8:1A	Inter Sales A/S
7C:05:1E	Rafael Ltd
5C:02:6A	Applied Vision Corp
10:12:FB	"Hangzhou Hikvision Digital Tech Co, Ltd"
A4:16:E7	"Huawei Tech Co, Ltd"
00:01:C5	Simpler Networks
00:D0:BC	"Cisco Systems, Inc"
80:00:10	AT&T
84:72:07	I&C Tech
40:2E:28	MiXTelematics
70:B3:D5:BF:F	"Sunsa, Inc"
00:17:CF	iMCA-GmbH
40:D8:55:17:5	Ahb Systeme GmbH
F0:F6:1C	"Apple, Inc"
7C:BA:CC:5	"Fortem Tech, Inc"
00:50:C2:56:5	Workpower Tecnologia Eletronica Ltda-Epp
00:50:C2:5E:7	Eads Test & Services
8C:60:4F	"Cisco Systems, Inc"
F0:95:F1	Carl Zeiss AG
AC:88:FD	"Apple, Inc"
A4:3B:FA:3	Circus World Displays Ltd
00:55:DA:2	"Beijing Connected Information Tech Co, Ltd"
A4:E4:B8	BlackBerry Rts
88:29:50	"Netmoon Tech Co, Ltd"
1C:60:DE	"Mercury Communication Tech Co, Ltd"
28:41:C6	"Huawei Tech Co, Ltd"
30:93:BC	Sagemcom Broadband Sas
70:B3:D5:1A:3	Telairity Semiconductor
58:D9:D5	"Tenda Tech Co, LtdDongguan branch"
00:13:3D	Micro Memory Curtiss Wright Co
00:14:20	G-Links networking Co
00:18:39	"Cisco-Linksys, Llc"
00:23:D4	Texas Instruments
BC:B8:52	"Cybera, Inc"
A0:BB:3E:D	Shenzhen Talent Tech Co Ltd
00:30:C6	"Control Solutions, Inc"
00:0E:B2	Micro-Research Finland Oy
00:0F:02	"Digicube Tech Co, Ltd"
64:62:66:A	"Sensoro Co, Ltd"
00:13:16	L-S-B Broadcast Tech GmbH
D4:67:E7	"Fiberhome Telecommunication Tech Co, Ltd"
D4:B2:7A	"Arris Group, Inc"
94:C2:BD	Tecnobit
